Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.532735292,2.729531995,2.5821619,0.155518173,3.966216316,7.144938703,4.234503616,3.800232201,4.736212562,3.781037737,3.446659349,3.261160132,3.892867435,5.815816648,4.56213638,4.586360706,5.875935811,6.471260105,7.860966094,6.764354681,7.144663028,7.859450853,8.164573676,7.174953432,5.668788525,5.872777041,6.72785241,5.047597582,5.805538767,3.658137552,3.841063386,4.121174707,5.049021879,6.89712404
Bulgaria,BGR,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.18800066,226.5378599,59.57864939,51.0910539,72.70496824,135.955619,62.96624432,913.2130996,33.95102856,3.319139594,7.380837467,6.117732792,3.848380241,2.189410227,5.581557426,6.594258587,6.756474286,11.05143171,8.103456232,3.938019326,0.76413,6.112829917,1.112178947,0.071951518,1.34078334,2.947745873,3.323559745,4.813120484,4.234605498,5.239256554,4.260105686,7.134491718,16.18195589,7.510536602
Bahrein,BHR,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.826695567,-1.882523995,-3.532652872,-3.025814768,7.331187444,1.090670175,0.196720001,0.931716359,-7.057411078,2.65643644,14.32252339,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.369332141,0.133884877,5.807241322,4.325560019,0.08326178,-6.067076929,10.61418743,7.699067358,-5.011919018
Bahamas,BHS,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.073711047,2.556539886,3.905565437,-0.851983748,2.183366578,0.802435337,0.984243641,1.92767477,3.0492,4.950938924,0.922707425,0.353150705,3.960474325,1.154879054,1.194997591,5.056008398,0.828194507,2.947965812,1.488610688,-1.036380314,-0.392565566,-0.858605323,2.105634286,-0.170344887,3.648171363,5.088782853,1.604489756,1.34831042,0.456170832,4.593407872,-2.63480302,-1.071837447,4.301046158,6.344420145
Bosnia y Herzegovina,BIH,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.47240776,1362.028784,7544.813682,49.11826756,13.38244635,1.639633915,11.14929395,-2.439694674,8.43332374,5.892741203,4.726117616,5.007866373,1.41086148,2.161971578,6.189015768,7.80012736,6.197569391,7.335351286,0.185466529,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.333305967,1.778707027,2.791624904,2.471504685,0.06214255,4.964604416,11.80884011,5.530501969
Belarús,BLR,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767053,1030.776811,1058.714498,1945.748604,661.5040771,53.71432735,71.64957473,76.58044645,316.7934348,185.2907609,79.53457245,44.89373884,30.68532156,22.6751225,18.97216053,10.74861574,12.87270223,21.21353614,9.258661904,11.29047472,71.03882152,75.27736918,21.25729569,18.1049634,16.02323933,8.341004503,8.623535045,12.13923668,8.576908509,11.87787911,15.32641518,14.88468039,7.368230536
Belice,BLZ,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172866167,-2.4567881,3.409906432,1.877165446,2.637881165,5.315715456,2.748452259,-1.500062169,2.40801256,-1.672313215,1.414097676,-1.955108475,0.719909278,-4.157044074,2.092843423,3.012203046,3.247345731,3.836088306,3.517561299,-2.473301163,2.158666302,4.89924322,0.746406423,1.913552957,1.064820271,0.047314442,2.101941118,3.031933009,0.09585492,-0.130661894,-0.549657421,0.458796255,7.36483426,10.89674793
Bermudas,BMU,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.033572309,6.430591169,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,5.3772,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.611116976,2.419351945,-0.40980436,0.36140003,0.938226826,
Bolivia,BOL,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26794198,17.68944022,13.19920441,6.557158191,7.952207725,11.42728171,11.58020687,5.705043358,7.051126765,2.411565889,5.195405208,1.870093658,2.820757397,6.329992293,7.967709509,5.94079763,13.66367954,7.373353861,10.38118176,-2.419894328,8.777508116,14.60235424,7.100275501,5.995388369,2.049497726,-4.620602258,-1.354870581,6.061399962,3.056265753,-0.693003272,-1.854386683,3.956119685,5.124464432,1.699553215
Brasil,BRA,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736.970678,416.6780939,969.0129628,1996.150247,2240.168866,93.97804306,18.45624377,7.729023412,4.924361585,8.010500883,5.606065141,8.225094321,9.798112238,14.09102152,7.752060763,7.431224753,6.774274119,6.439038087,8.778552724,7.313482746,8.423338337,8.318592219,7.943126941,7.504564533,7.846709744,7.566175012,8.103604359,3.671384513,4.493534331,4.224258869,6.472499608,13.04727088,8.570281953,4.658994759
